PrixD_Echange, AverageWeeksWithExchangeVaries_1, AverageWeeksWithExchangeVaries_2,AverageWeeksWithExchangeVaries_3,AverageWeeksWithExchangeVaries_4,AverageWeeksWithExchangeVaries_5
1,500,250,167,125,100
2,638,319,213,160,128
3,731,366,243,183,146
4,802,400,267,200,160
5,858,429,286,214,171
6,907,453,302,226,181
7,950,474,316,237,189
8,987,493,328,246,197
9,1019,509,340,255,204
10,1051,525,349,262,209
11,1077,538,359,269,215
12,1103,551,367,275,220
13,1124,563,376,281,225
14,1149,575,383,287,229
15,1172,585,389,292,234
16,1192,596,397,297,237
17,1209,604,402,302,241
18,1229,613,408,306,245
19,1244,622,414,311,248
20,1261,630,420,315,251
21,1276,638,425,318,255
22,1292,645,430,322,258
23,1308,653,435,326,261
24,1322,659,439,329,263
25,1330,666,443,332,266
26,1344,672,448,336,268
27,1357,678,452,339,271
28,1369,686,456,341,273
29,1381,688,459,345,276
30,1393,696,464,347,277
31,1403,702,466,350,279
32,1414,706,470,353,282
33,1424,710,474,355,284
34,1433,717,477,358,286
35,1444,720,480,361,288
36,1452,726,484,363,289
37,1462,731,487,365,292
38,1474,735,489,367,294
39,1482,739,492,369,295
40,1490,744,495,372,296
41,1498,748,498,374,299
42,1503,753,502,376,300
43,1512,756,504,377,302
44,1521,761,507,379,303
45,1523,763,509,382,305
46,1538,768,512,382,306
47,1545,772,513,385,308
48,1551,775,516,387,310
49,1558,779,519,389,310
50,1564,782,520,391,313
51,1576,786,523,392,313
52,1582,788,525,394,314
53,1587,791,528,396,317
54,1593,795,531,398,318
55,1599,799,532,398,319
56,1607,801,533,400,320
57,1609,804,536,401,321
58,1616,809,539,403,322
59,1623,809,540,406,323
60,1624,815,543,407,325
61,1636,814,543,407,326
62,1644,820,545,409,327
63,1647,823,548,410,328
64,1653,827,551,412,330
65,1654,827,552,413,331
66,1658,831,553,415,331
67,1666,834,555,415,333
68,1673,836,557,418,334
69,1682,837,561,418,335
70,1681,843,560,420,336
71,1689,845,561,422,337
72,1691,844,562,423,338
73,1703,849,565,423,339
74,1705,851,567,425,341
75,1708,855,569,427,340
76,1713,856,569,428,342
77,1717,857,571,430,343
78,1724,863,575,429,344
79,1727,863,574,430,344
80,1732,865,574,432,345
81,1737,867,577,433,346
82,1739,870,577,434,347
83,1741,872,579,435,348
84,1747,876,582,436,349
85,1756,876,584,436,350
86,1760,875,585,440,350
87,1764,881,585,440,352
88,1765,883,588,440,353
89,1772,885,588,442,353
90,1776,886,590,442,354
91,1780,888,590,444,354
92,1777,889,591,445,355
93,1785,891,593,446,357
94,1792,895,595,446,356
95,1792,895,598,447,359
96,1793,897,598,449,359
97,1799,900,599,450,358
98,1804,901,601,451,360
99,1810,903,602,452,361
100,1812,909,603,451,362
101,1815,907,603,453,361
102,1821,908,604,454,362
103,1823,910,605,455,364
104,1825,913,607,455,363
105,1829,912,610,456,365
106,1830,917,611,458,365
107,1838,918,611,458,365
108,1842,918,612,458,368
109,1838,918,614,460,366
110,1845,922,616,461,368
111,1849,924,615,461,370
112,1853,926,617,462,369
113,1855,930,617,463,370
114,1857,929,618,465,369
115,1865,930,621,465,371
116,1866,934,621,466,372
117,1874,932,622,466,372
118,1874,934,622,467,373
119,1880,939,626,468,374
120,1879,942,625,468,375
121,1885,940,625,469,375
122,1888,941,626,470,376
123,1889,946,628,471,376
124,1890,945,627,472,379
125,1889,946,629,473,377
126,1896,948,630,473,379
127,1898,947,631,473,378
128,1908,950,633,475,379
129,1905,951,633,475,379
130,1907,955,635,478,379
131,1909,957,638,476,381
132,1908,957,639,477,382
133,1919,957,640,478,383
134,1921,961,640,480,383
135,1925,958,641,480,383
136,1922,962,641,480,384
137,1926,965,642,479,384
138,1932,964,643,481,385
139,1929,965,644,481,386
140,1937,965,644,481,385
141,1938,971,644,483,387
142,1934,971,647,485,387
143,1944,970,646,486,388
144,1943,970,647,486,388
145,1948,972,650,486,389
146,1948,973,651,486,389
147,1956,974,649,487,389
148,1956,976,651,487,389
149,1957,978,651,490,391
150,1961,978,653,490,391
151,1969,984,655,489,392
152,1971,983,656,491,393
153,1968,985,656,491,391
154,1968,983,655,492,393
155,1974,984,658,493,394
156,1975,987,657,493,394
157,1976,987,658,494,394
158,1983,991,660,495,394
159,1979,991,658,492,395
160,1984,991,661,493,395
161,1989,995,663,497,396
162,1994,994,663,497,398
163,1989,993,662,499,397
164,2001,997,665,497,398
165,1998,996,663,498,397
166,1996,999,664,498,398
167,1998,1001,666,498,400
168,2005,1006,668,500,399
169,2008,1002,666,500,400
170,2009,1000,666,501,401
171,2006,1005,671,502,399
172,2018,1007,672,503,402
173,2012,1001,671,503,402
174,2015,1006,672,503,402
175,2024,1005,673,504,402
176,2025,1011,673,504,405
177,2020,1007,674,503,403
178,2023,1012,673,506,403
179,2021,1012,675,506,403
180,2028,1009,678,507,405
181,2028,1014,678,506,404
182,2036,1016,675,507,405
183,2036,1017,677,509,407
184,2032,1020,679,507,407
185,2033,1021,679,510,407
186,2040,1017,679,510,407
187,2042,1021,679,510,408
188,2045,1023,682,510,409
189,2039,1023,682,514,407
190,2044,1023,684,511,409
191,2058,1027,683,512,410
192,2058,1026,682,512,410
193,2052,1027,685,512,410
194,2054,1031,686,512,411
195,2059,1026,685,513,413
196,2061,1027,687,513,412
197,2062,1030,687,514,412
198,2066,1031,687,513,412
199,2065,1032,686,515,412
200,2072,1033,690,514,411
201,2078,1036,690,516,414
202,2071,1034,692,518,412
203,2077,1037,691,515,414
204,2073,1041,689,519,414
205,2080,1041,692,517,414
206,2083,1042,691,518,413
207,2091,1041,691,519,415
208,2084,1045,692,519,416
209,2086,1042,694,519,416
210,2089,1044,696,521,417
211,2090,1042,697,520,418
212,2093,1048,694,521,418
213,2098,1040,696,521,417
214,2097,1047,699,522,418
215,2093,1046,697,521,418
216,2096,1048,696,524,416
217,2106,1049,698,523,419
218,2098,1050,700,524,420
219,2099,1056,697,526,419
220,2104,1051,700,525,420
221,2106,1053,702,525,421
222,2108,1053,702,526,421
223,2114,1056,701,528,421
224,2116,1056,702,527,422
225,2108,1057,704,526,421
226,2116,1058,705,527,422
227,2124,1059,705,528,421
228,2115,1057,706,529,423
229,2115,1061,706,530,424
230,2118,1060,709,529,424
231,2127,1061,705,529,424
232,2118,1066,705,530,425
233,2125,1067,706,531,424
234,2124,1061,708,528,424
235,2127,1067,709,531,425
236,2131,1068,711,533,425
237,2140,1063,711,532,426
238,2138,1069,709,533,425
239,2137,1066,710,533,427
240,2143,1073,712,535,426
241,2137,1067,716,536,425
242,2141,1070,710,534,427
243,2142,1075,714,535,428
244,2155,1071,715,535,427
245,2151,1075,713,536,427
246,2135,1073,715,534,428
247,2150,1073,716,539,428
248,2151,1078,717,536,429
249,2151,1072,716,537,429
250,2157,1075,720,538,431
251,2158,1076,716,539,429
252,2160,1080,720,538,429
253,2157,1078,718,538,429
254,2164,1081,720,539,431
255,2170,1079,721,539,430
256,2164,1080,720,541,432
257,2172,1084,720,538,431
258,2158,1081,720,540,430
259,2174,1080,722,541,433
260,2168,1083,721,543,432
261,2176,1085,720,543,432
262,2173,1083,724,540,432
263,2174,1082,726,542,432
264,2177,1083,725,544,434
265,2164,1088,724,543,433
266,2179,1085,725,544,433
267,2176,1089,724,544,432
268,2183,1091,725,543,435
269,2186,1095,727,544,435
270,2174,1093,727,544,435
271,2185,1093,726,543,436
272,2190,1091,726,545,435
273,2196,1096,727,547,438
274,2191,1095,726,546,437
275,2188,1093,731,545,437
276,2193,1092,726,545,437
277,2198,1096,729,548,437
278,2193,1095,730,549,438
279,2203,1097,730,548,438
280,2195,1097,730,549,437
281,2208,1097,732,549,437
282,2203,1101,730,548,438
283,2208,1100,731,548,438
284,2201,1107,733,549,439
285,2198,1107,735,552,439
286,2212,1101,733,548,438
287,2214,1100,736,548,440
288,2203,1100,735,552,440
289,2208,1103,733,551,440
290,2206,1106,737,552,443
291,2208,1107,736,551,441
292,2222,1101,736,551,442
293,2212,1110,736,550,444
294,2219,1105,736,553,443
295,2217,1109,741,553,442
296,2226,1111,739,554,442
297,2219,1107,740,554,444
298,2220,1111,739,554,443
299,2227,1110,741,556,444
300,2232,1111,742,554,442
301,2235,1114,738,557,446
302,2229,1113,738,554,442
303,2223,1114,740,555,445
304,2234,1117,740,555,443
305,2228,1120,740,557,446
306,2227,1118,741,556,445
307,2226,1113,747,558,446
308,2229,1119,747,559,445
309,2229,1116,742,558,446
310,2241,1121,742,557,446
311,2247,1118,744,558,448
312,2240,1115,744,559,447
313,2245,1114,749,559,447
314,2243,1118,746,557,447
315,2236,1121,748,560,445
316,2246,1123,745,557,447
317,2248,1121,749,563,448
318,2247,1124,748,563,447
319,2246,1122,745,559,449
320,2247,1124,752,563,450
321,2248,1124,750,561,448
322,2251,1124,749,561,448
323,2250,1122,749,562,450
324,2249,1126,751,561,448
325,2258,1126,754,562,450
326,2254,1127,752,560,449
327,2253,1128,752,563,450
328,2253,1130,753,565,449
329,2255,1124,751,561,449
330,2262,1126,750,565,450
331,2261,1131,752,564,450
332,2271,1132,754,566,451
333,2259,1128,754,565,451
334,2275,1128,755,565,453
335,2267,1132,757,567,452
336,2272,1134,754,566,454
337,2262,1133,754,565,450
338,2270,1133,757,566,451
339,2276,1134,754,567,453
340,2268,1136,756,566,452
341,2266,1136,758,567,454
342,2276,1134,760,567,455
343,2282,1135,760,567,455
344,2282,1144,757,567,455
345,2275,1137,759,566,453
346,2280,1140,758,567,454
347,2272,1143,758,568,454
348,2281,1143,758,570,456
349,2284,1142,760,568,455
350,2283,1142,761,569,456
351,2286,1145,767,571,456
352,2290,1143,761,570,456
353,2296,1136,760,570,457
354,2286,1148,760,571,456
355,2283,1146,760,572,457
356,2301,1143,762,570,457
357,2284,1151,764,574,456
358,2289,1144,765,569,454
359,2291,1142,764,571,457
360,2293,1151,764,572,459
361,2282,1144,769,571,457
362,2299,1148,764,571,458
363,2294,1148,761,572,457
364,2302,1152,766,572,458
365,2299,1149,767,573,459
366,2295,1150,766,574,459
367,2310,1148,768,574,458
368,2315,1150,767,574,461
369,2305,1154,769,573,459
370,2306,1147,766,576,461
371,2303,1149,767,576,460
372,2313,1157,766,575,461
373,2311,1154,771,575,460
374,2318,1153,764,576,458
375,2313,1158,769,577,460
376,2303,1153,769,575,462
377,2313,1155,770,577,462
378,2321,1154,771,580,462
379,2313,1158,771,577,462
380,2325,1153,769,577,461
381,2321,1159,773,578,463
382,2317,1159,768,577,464
383,2320,1155,773,579,462
384,2324,1167,772,577,463
385,2319,1160,775,577,463
386,2313,1156,777,581,463
387,2317,1162,773,579,462
388,2318,1155,772,581,463
389,2324,1161,774,579,463
390,2331,1164,774,580,465
391,2330,1164,775,579,464
392,2322,1163,775,578,463
393,2328,1165,775,580,466
394,2334,1163,773,581,464
395,2332,1166,773,581,466
396,2346,1171,776,581,466
397,2342,1159,774,583,466
398,2339,1162,775,584,465
399,2342,1168,779,583,466
400,2324,1166,778,582,465
401,2346,1166,777,584,465
402,2345,1166,781,582,466
403,2335,1167,780,582,465
404,2345,1166,776,585,468
405,2343,1169,775,583,466
406,2345,1172,780,584,467
407,2342,1162,780,584,467
408,2351,1171,776,584,467
409,2339,1171,778,584,468
410,2340,1174,782,585,468
411,2348,1172,777,584,470
412,2345,1172,781,588,469
413,2343,1170,781,582,469
414,2350,1177,780,585,468
415,2359,1178,779,586,467
416,2352,1172,781,586,468
417,2345,1177,780,585,471
418,2363,1170,781,588,468
419,2367,1173,784,586,469
420,2356,1175,783,589,469
421,2360,1176,784,588,471
422,2351,1176,786,587,471
423,2367,1179,782,588,469
424,2351,1178,783,587,468
425,2366,1180,786,589,470
426,2348,1182,786,590,468
427,2364,1179,787,591,471
428,2363,1176,789,588,472
429,2369,1179,786,590,472
430,2360,1182,788,589,469
431,2374,1184,786,589,472
432,2362,1182,787,592,473
433,2362,1185,789,589,472
434,2373,1176,788,589,470
435,2366,1183,790,590,472
436,2381,1187,784,593,472
437,2372,1183,789,591,471
438,2371,1183,788,594,472
439,2371,1185,787,592,473
440,2373,1184,786,592,474
441,2386,1188,791,592,472
442,2382,1175,789,593,472
443,2372,1188,791,592,474
444,2377,1186,791,593,474
445,2379,1194,791,591,473
446,2371,1189,791,590,474
447,2379,1187,794,591,475
448,2389,1185,791,593,473
449,2378,1188,792,592,474
450,2376,1183,791,593,476
451,2399,1188,792,595,475
452,2389,1182,791,595,475
453,2384,1189,795,594,476
454,2382,1188,793,594,475
455,2385,1193,797,597,478
456,2385,1193,791,595,475
457,2387,1186,792,595,476
458,2381,1195,794,596,475
459,2384,1193,794,595,476
460,2392,1194,798,596,476
461,2393,1195,793,596,477
462,2387,1197,795,595,478
463,2398,1194,797,593,478
464,2395,1194,800,598,477
465,2390,1198,794,595,478
466,2399,1197,797,597,479
467,2395,1202,799,598,476
468,2399,1199,795,595,478
469,2391,1199,799,599,478
470,2389,1202,798,601,479
471,2405,1199,797,596,478
472,2396,1199,797,599,479
473,2410,1208,799,597,478
474,2394,1199,800,603,478
475,2404,1202,803,600,479
476,2410,1200,803,598,477
477,2407,1203,799,599,478
478,2398,1201,800,602,479
479,2398,1203,803,601,481
480,2406,1202,803,601,479
481,2413,1199,802,604,483
482,2409,1199,800,602,481
483,2407,1204,804,601,482
484,2408,1207,801,599,480
485,2408,1206,804,603,483
486,2408,1203,803,602,480
487,2419,1203,799,604,480
488,2411,1203,804,604,481
489,2418,1211,803,602,484
490,2421,1206,805,604,480
491,2414,1210,808,603,481
492,2424,1208,802,604,483
493,2408,1208,802,603,482
494,2418,1205,803,604,481
495,2409,1209,806,602,482
496,2424,1216,807,605,481
497,2411,1213,803,602,483
498,2424,1206,803,605,482
499,2418,1209,808,603,482
500,2426,1209,805,607,484
